County,Population 2015,State
Lenoir County,58106,North Carolina
Lincoln County,81035,North Carolina
McDowell County,44989,North Carolina
Macon County,34201,North Carolina
Madison County,21139,North Carolina
Martin County,23357,North Carolina
Mecklenburg County,1034070,North Carolina
Mitchell County,15246,North Carolina
Montgomery County,27548,North Carolina
Moore County,94352,North Carolina
Nash County,93919,North Carolina
New Hanover County,220358,North Carolina
Northampton County,20426,North Carolina
Onslow County,186311,North Carolina
Orange County,141354,North Carolina
Pamlico County,12781,North Carolina
Pasquotank County,39829,North Carolina
Pender County,57611,North Carolina
Perquimans County,13440,North Carolina
Person County,39259,North Carolina
Pitt County,175842,North Carolina
Polk County,20366,North Carolina
Randolph County,142799,North Carolina
Richmond County,45437,North Carolina
Robeson County,134197,North Carolina
Rockingham County,91758,North Carolina
Rowan County,139142,North Carolina
Rutherford County,66390,North Carolina
Sampson County,63724,North Carolina
Scotland County,35509,North Carolina
Stanly County,60714,North Carolina
Stokes County,46351,North Carolina
Surry County,72743,North Carolina
Swain County,14434,North Carolina
Transylvania County,33211,North Carolina
Tyrrell County,4070,North Carolina
Union County,222742,North Carolina
Vance County,44568,North Carolina
Wake County,1024198,North Carolina
Warren County,20155,North Carolina
Washington County,12385,North Carolina
Watauga County,52906,North Carolina
Wayne County,124132,North Carolina
Wilkes County,68502,North Carolina
Wilson County,81714,North Carolina
Yadkin County,37585,North Carolina
Yancey County,17587,North Carolina
Adams County,2359,North Dakota
Barnes County,11099,North Dakota
Benson County,6753,North Dakota
Billings County,936,North Dakota
Bottineau County,6716,North Dakota
Bowman County,3294,North Dakota
Burke County,2308,North Dakota
Burleigh County,92991,North Dakota
Cass County,171512,North Dakota
Cavalier County,3828,North Dakota
Dickey County,5104,North Dakota
Divide County,2450,North Dakota
Dunn County,4646,North Dakota
Eddy County,2365,North Dakota
Emmons County,3402,North Dakota
Foster County,3356,North Dakota
Golden Valley County,1845,North Dakota
Grand Forks County,70916,North Dakota
Grant County,2388,North Dakota
Griggs County,2314,North Dakota
Hettinger County,2704,North Dakota
Kidder County,2417,North Dakota
LaMoure County,4125,North Dakota
Logan County,1935,North Dakota
McHenry County,5968,North Dakota
McIntosh County,2759,North Dakota
McKenzie County,12826,North Dakota
McLean County,9744,North Dakota
Mercer County,8853,North Dakota
Morton County,30310,North Dakota
Mountrail County,10331,North Dakota
Nelson County,2968,North Dakota
Oliver County,1846,North Dakota
Pembina County,7091,North Dakota
Pierce County,4312,North Dakota
Ramsey County,11630,North Dakota
Ransom County,5448,North Dakota
Renville County,2571,North Dakota
Richland County,16402,North Dakota
Rolette County,14649,North Dakota
Sargent County,3876,North Dakota
Sheridan County,1310,North Dakota
Sioux County,4370,North Dakota
Slope County,767,North Dakota
Stark County,32154,North Dakota
Steele County,1956,North Dakota
Stutsman County,21103,North Dakota
Towner County,2272,North Dakota
Traill County,8014,North Dakota
Walsh County,10897,North Dakota
Ward County,71275,North Dakota
Wells County,4168,North Dakota
Williams County,35294,North Dakota
Adams County,28024,Ohio
Allen County,104425,Ohio
Ashland County,53213,Ohio
Ashtabula County,98632,Ohio
Athens County,65886,Ohio
Auglaize County,45876,Ohio
Belmont County,69154,Ohio
Brown County,43839,Ohio
Butler County,376353,Ohio
Carroll County,27811,Ohio
Champaign County,38987,Ohio
Clark County,135959,Ohio
Clermont County,201973,Ohio
Clinton County,41917,Ohio
Columbiana County,104806,Ohio
Coshocton County,36569,Ohio
Crawford County,42306,Ohio
Cuyahoga County,1255921,Ohio
Darke County,52076,Ohio
Defiance County,38352,Ohio
Delaware County,193013,Ohio
Erie County,75550,Ohio
Fairfield County,151408,Ohio
Fayette County,28679,Ohio
Franklin County,1251722,Ohio
Fulton County,42537,Ohio
Gallia County,30142,Ohio
Geauga County,94102,Ohio
Greene County,164427,Ohio
Guernsey County,39258,Ohio
Hamilton County,807598,Ohio
Hancock County,75573,Ohio
Hardin County,31682,Ohio
Harrison County,15450,Ohio
Henry County,27816,Ohio
Highland County,43026,Ohio
Hocking County,28491,Ohio
Holmes County,43909,Ohio
Huron County,58469,Ohio
Jackson County,32596,Ohio
Jefferson County,67347,Ohio
Knox County,61061,Ohio
Lake County,229245,Ohio
Lawrence County,61109,Ohio
Licking County,170570,Ohio
Logan County,45386,Ohio
Lorain County,305147,Ohio
Lucas County,433689,Ohio
Madison County,44094,Ohio
Mahoning County,231900,Ohio
Marion County,65355,Ohio
Medina County,176395,Ohio
Meigs County,23257,Ohio
Mercer County,40968,Ohio
Miami County,104224,Ohio
Monroe County,14409,Ohio
Montgomery County,532258,Ohio
Morgan County,14777,Ohio
Morrow County,35074,Ohio
Muskingum County,86290,Ohio
Noble County,14326,Ohio
Ottawa County,40877,Ohio
Paulding County,18976,Ohio
Perry County,35985,Ohio
Pickaway County,56998,Ohio
Pike County,28217,Ohio
Portage County,162275,Ohio
Preble County,41329,Ohio
Putnam County,34042,Ohio
Richland County,121707,Ohio
Ross County,77170,Ohio
Sandusky County,59679,Ohio
Scioto County,76825,Ohio
Seneca County,55610,Ohio
Shelby County,48901,Ohio
Stark County,375165,Ohio
Summit County,541968,Ohio
Trumbull County,203751,Ohio
Tuscarawas County,92916,Ohio
Union County,54277,Ohio
Van Wert County,28562,Ohio
Vinton County,13048,Ohio
Warren County,224469,Ohio
Washington County,61112,Ohio
Wayne County,116063,Ohio
Williams County,37120,Ohio
Wood County,129730,Ohio
Wyandot County,22243,Ohio
Adair County,22004,Oklahoma
Alfalfa County,5868,Oklahoma
Atoka County,13793,Oklahoma
Beaver County,5427,Oklahoma
Beckham County,23768,Oklahoma
Blaine County,9833,Oklahoma
Bryan County,44884,Oklahoma
Caddo County,29343,Oklahoma
Canadian County,133378,Oklahoma
Carter County,48689,Oklahoma
Cherokee County,48447,Oklahoma
Choctaw County,14997,Oklahoma
Cimarron County,2216,Oklahoma
Cleveland County,274458,Oklahoma
Coal County,5651,Oklahoma
Comanche County,124648,Oklahoma
Cotton County,5996,Oklahoma
Craig County,14818,Oklahoma
Creek County,70892,Oklahoma
Custer County,29744,Oklahoma
Delaware County,41459,Oklahoma
Dewey County,4995,Oklahoma
Ellis County,4231,Oklahoma
Garfield County,63569,Oklahoma
Garvin County,27755,Oklahoma
Grady County,54648,Oklahoma
Grant County,4523,Oklahoma
Greer County,6070,Oklahoma
Harmon County,2788,Oklahoma
Harper County,3754,Oklahoma
Haskell County,12845,Oklahoma
Hughes County,13735,Oklahoma
Jackson County,25574,Oklahoma
Jefferson County,6276,Oklahoma
Johnston County,10980,Oklahoma
Kay County,45366,Oklahoma
Kingfisher County,15584,Oklahoma
Kiowa County,9144,Oklahoma
Latimer County,10483,Oklahoma
Le Flore County,49605,Oklahoma
Lincoln County,35042,Oklahoma
Logan County,45996,Oklahoma
Love County,9870,Oklahoma
McClain County,38066,Oklahoma
McCurtain County,33048,Oklahoma
McIntosh County,19990,Oklahoma
Major County,7771,Oklahoma
Marshall County,16232,Oklahoma
Mayes County,40887,Oklahoma
Murray County,13936,Oklahoma
Muskogee County,69699,Oklahoma
Noble County,11554,Oklahoma
Nowata County,10539,Oklahoma
Okfuskee County,12181,Oklahoma
Oklahoma County,776864,Oklahoma
Okmulgee County,39187,Oklahoma
Osage County,47887,Oklahoma
Ottawa County,31981,Oklahoma
Pawnee County,16436,Oklahoma
Payne County,80850,Oklahoma
Pittsburg County,44610,Oklahoma
Pontotoc County,38194,Oklahoma
Pottawatomie County,71875,Oklahoma
Pushmataha County,11183,Oklahoma
Roger Mills County,3788,Oklahoma
Rogers County,90802,Oklahoma
Seminole County,25548,Oklahoma
Sequoyah County,41153,Oklahoma
Stephens County,44581,Oklahoma
Texas County,21489,Oklahoma
Tillman County,7515,Oklahoma
Tulsa County,639242,Oklahoma
Wagoner County,76559,Oklahoma
Washington County,52021,Oklahoma
Washita County,11661,Oklahoma
Woods County,9304,Oklahoma
Woodward County,21559,Oklahoma
Baker County,16005,Oregon
Benton County,87572,Oregon
Clackamas County,401515,Oregon
Clatsop County,37831,Oregon
Columbia County,49600,Oregon
Coos County,63121,Oregon
Crook County,21630,Oregon
Curry County,22483,Oregon
Deschutes County,175268,Oregon
Douglas County,107685,Oregon
Gilliam County,1859,Oregon
Grant County,7185,Oregon
Harney County,7200,Oregon
Hood River County,23137,Oregon
Jackson County,212567,Oregon
Jefferson County,22666,Oregon
Josephine County,84745,Oregon
Klamath County,66016,Oregon
Lake County,7829,Oregon
Lane County,362895,Oregon
Lincoln County,47038,Oregon
Linn County,120547,Oregon
Malheur County,30380,Oregon
Marion County,330700,Oregon
Morrow County,11190,Oregon
Multnomah County,790294,Oregon
Polk County,79391,Oregon
Sherman County,1680,Oregon
Tillamook County,25653,Oregon
Umatilla County,76531,Oregon
Union County,25790,Oregon
Wallowa County,6856,Oregon
Wasco County,25775,Oregon
Washington County,574326,Oregon
Wheeler County,1358,Oregon
Yamhill County,102659,Oregon
Adams County,102295,Pennsylvania
Allegheny County,1230459,Pennsylvania
Armstrong County,67052,Pennsylvania
Beaver County,168871,Pennsylvania
Bedford County,48586,Pennsylvania
Berks County,415271,Pennsylvania
Blair County,125593,Pennsylvania
Bradford County,61281,Pennsylvania
Bucks County,627367,Pennsylvania
Butler County,186818,Pennsylvania
Cambria County,136411,Pennsylvania
Cameron County,4732,Pennsylvania
Carbon County,63960,Pennsylvania
Centre County,160580,Pennsylvania
Chester County,515939,Pennsylvania
Clarion County,39498,Pennsylvania
Clearfield County,80994,Pennsylvania
Clinton County,39441,Pennsylvania
Columbia County,66672,Pennsylvania
Crawford County,86484,Pennsylvania
Cumberland County,246338,Pennsylvania
Dauphin County,272983,Pennsylvania
Delaware County,563894,Pennsylvania
Elk County,30872,Pennsylvania
Erie County,278045,Pennsylvania
Fayette County,133628,Pennsylvania
Forest County,7410,Pennsylvania
Franklin County,153638,Pennsylvania
Fulton County,14629,Pennsylvania
Greene County,37519,Pennsylvania
Huntingdon County,45668,Pennsylvania
Indiana County,86966,Pennsylvania
Jefferson County,44430,Pennsylvania
Juniata County,24737,Pennsylvania
Lackawanna County,211917,Pennsylvania
Lancaster County,536624,Pennsylvania
Lawrence County,88082,Pennsylvania
Lebanon County,137067,Pennsylvania
Lehigh County,360685,Pennsylvania
Luzerne County,318449,Pennsylvania
Lycoming County,116048,Pennsylvania
McKean County,42412,Pennsylvania
Mercer County,114234,Pennsylvania
Mifflin County,46500,Pennsylvania
Monroe County,166397,Pennsylvania
Montgomery County,819264,Pennsylvania
Montour County,18557,Pennsylvania
Northampton County,300813,Pennsylvania
Northumberland County,93246,Pennsylvania
Perry County,45685,Pennsylvania
Philadelphia County,1567442,Pennsylvania
Pike County,55949,Pennsylvania
Potter County,17093,Pennsylvania
Schuylkill County,144590,Pennsylvania
Snyder County,40444,Pennsylvania
Somerset County,75522,Pennsylvania
Sullivan County,6328,Pennsylvania
Susquehanna County,41666,Pennsylvania
Tioga County,41877,Pennsylvania
Union County,44954,Pennsylvania
Venango County,53119,Pennsylvania
Warren County,40396,Pennsylvania
Washington County,208261,Pennsylvania
Wayne County,51198,Pennsylvania
Westmoreland County,357956,Pennsylvania
Wyoming County,27800,Pennsylvania
York County,442867,Pennsylvania
Bristol County,49084,Rhode Island
Kent County,164801,Rhode Island
Newport County,82423,Rhode Island
Providence County,633473,Rhode Island
Washington County,126517,Rhode Island
Abbeville County,24932,South Carolina
Aiken County,165829,South Carolina
Allendale County,9433,South Carolina
Anderson County,194692,South Carolina
Bamberg County,14880,South Carolina
Barnwell County,21725,South Carolina
Beaufort County,179589,South Carolina
Berkeley County,202786,South Carolina
Calhoun County,14781,South Carolina
Charleston County,389262,South Carolina
Cherokee County,56194,South Carolina
Chester County,32267,South Carolina
Chesterfield County,46017,South Carolina
Clarendon County,33775,South Carolina
Colleton County,37731,South Carolina
Darlington County,67548,South Carolina
Dillon County,31234,South Carolina
Dorchester County,152478,South Carolina
Edgefield County,26514,South Carolina
Fairfield County,22747,South Carolina
Florence County,138900,South Carolina
Georgetown County,61298,South Carolina
Greenville County,491863,South Carolina
Greenwood County,69838,South Carolina
Hampton County,20049,South Carolina
Horry County,309199,South Carolina
Jasper County,27824,South Carolina
Kershaw County,63603,South Carolina
Lancaster County,85842,South Carolina
Laurens County,66623,South Carolina
Lee County,17896,South Carolina
Lexington County,281833,South Carolina
McCormick County,9706,South Carolina
Marion County,31747,South Carolina
Marlboro County,27494,South Carolina
Newberry County,38012,South Carolina
Oconee County,75713,South Carolina
Orangeburg County,89208,South Carolina
Pickens County,121691,South Carolina
Richland County,407051,South Carolina
Saluda County,20053,South Carolina
Spartanburg County,297302,South Carolina
Sumter County,107480,South Carolina
Union County,27777,South Carolina
Williamsburg County,32535,South Carolina
York County,251195,South Carolina
Aurora County,2733,South Dakota
Beadle County,18372,South Dakota
Bennett County,3423,South Dakota
Bon Homme County,6985,South Dakota
Brookings County,33897,South Dakota
Brown County,38785,South Dakota
Brule County,5281,South Dakota
Buffalo County,2095,South Dakota
Butte County,10283,South Dakota
Campbell County,1397,South Dakota
Charles Mix County,9383,South Dakota
Clark County,3659,South Dakota
Clay County,13964,South Dakota
Codington County,27939,South Dakota
Corson County,4197,South Dakota
Custer County,8446,South Dakota
Davison County,19858,South Dakota
Day County,5539,South Dakota
Deuel County,4333,South Dakota
Dewey County,5685,South Dakota
Douglas County,2977,South Dakota
Edmunds County,3999,South Dakota
Fall River County,6867,South Dakota
Faulk County,2337,South Dakota
Grant County,7142,South Dakota
Gregory County,4201,South Dakota
Haakon County,1861,South Dakota
Hamlin County,6047,South Dakota
Hand County,3348,South Dakota
Hanson County,3385,South Dakota
Harding County,1267,South Dakota
Hughes County,17555,South Dakota
Hutchinson County,7301,South Dakota
Hyde County,1397,South Dakota
Jackson County,3321,South Dakota
Jerauld County,1997,South Dakota
Jones County,924,South Dakota
Kingsbury County,4990,South Dakota
Lake County,12622,South Dakota
Lawrence County,24827,South Dakota
Lincoln County,52849,South Dakota
Lyman County,3876,South Dakota
McCook County,5599,South Dakota
McPherson County,2415,South Dakota
Marshall County,4769,South Dakota
Meade County,26986,South Dakota
Mellette County,2050,South Dakota
Miner County,2236,South Dakota
Minnehaha County,185197,South Dakota
Moody County,6430,South Dakota
Oglala Lakota County,14373,South Dakota
Pennington County,108702,South Dakota
Perkins County,3019,South Dakota
Potter County,2320,South Dakota
Roberts County,10311,South Dakota
Sanborn County,2355,South Dakota
Spink County,6524,South Dakota
Stanley County,2954,South Dakota
Sully County,1426,South Dakota
Todd County,9959,South Dakota
Tripp County,5434,South Dakota
Turner County,8209,South Dakota
Union County,14909,South Dakota
Walworth County,5443,South Dakota
Yankton County,22702,South Dakota
Ziebach County,2803,South Dakota
Anderson County,75749,Tennessee
Bedford County,47183,Tennessee
Benton County,16129,Tennessee
Bledsoe County,14502,Tennessee
Blount County,127253,Tennessee
Bradley County,104091,Tennessee
Campbell County,39752,Tennessee
Cannon County,13840,Tennessee
Carroll County,27910,Tennessee
Carter County,56486,Tennessee
Cheatham County,39741,Tennessee
Chester County,17471,Tennessee
Claiborne County,31709,Tennessee
Clay County,7771,Tennessee
Cocke County,35162,Tennessee
Coffee County,54277,Tennessee
Crockett County,14601,Tennessee
Cumberland County,58229,Tennessee
Davidson County,678889,Tennessee
Decatur County,11660,Tennessee
DeKalb County,19182,Tennessee
Dickson County,51487,Tennessee
Dyer County,37893,Tennessee
Fayette County,39165,Tennessee
Fentress County,17917,Tennessee
Franklin County,41449,Tennessee
Gibson County,49399,Tennessee
Giles County,28946,Tennessee
Grainger County,22846,Tennessee
Greene County,68580,Tennessee
Grundy County,13441,Tennessee
Hamblen County,63402,Tennessee
Hamilton County,354098,Tennessee
Hancock County,6572,Tennessee
Hardeman County,25707,Tennessee
Hardin County,25756,Tennessee
Hawkins County,56471,Tennessee
Haywood County,18023,Tennessee
Henderson County,28015,Tennessee
Henry County,32147,Tennessee
Hickman County,24363,Tennessee
Houston County,8149,Tennessee
Humphreys County,18135,Tennessee
Jackson County,11509,Tennessee
Jefferson County,53240,Tennessee
Johnson County,17830,Tennessee
Knox County,451324,Tennessee
Lake County,7576,Tennessee
Lauderdale County,26936,Tennessee
Lawrence County,42564,Tennessee
Lewis County,11854,Tennessee
Lincoln County,33743,Tennessee
Loudon County,51130,Tennessee
McMinn County,52639,Tennessee
McNairy County,26066,Tennessee
Macon County,23177,Tennessee
Madison County,97610,Tennessee
Marion County,28487,Tennessee
Marshall County,31552,Tennessee
Maury County,87757,Tennessee
Meigs County,11830,Tennessee
Monroe County,45771,Tennessee
Montgomery County,193479,Tennessee
Moore County,6322,Tennessee
Morgan County,21498,Tennessee
Obion County,30639,Tennessee
Overton County,22129,Tennessee
Perry County,7929,Tennessee
Pickett County,5146,Tennessee
Polk County,16773,Tennessee
Putnam County,74553,Tennessee
Rhea County,32526,Tennessee
Roane County,52753,Tennessee
Robertson County,68570,Tennessee
Rutherford County,298612,Tennessee
Scott County,21950,Tennessee
Sequatchie County,14811,Tennessee
Sevier County,95946,Tennessee
Shelby County,938069,Tennessee
Smith County,19295,Tennessee
Stewart County,13259,Tennessee
Sullivan County,156791,Tennessee
Sumner County,175989,Tennessee
Tipton County,61870,Tennessee
Trousdale County,8042,Tennessee
Unicoi County,17860,Tennessee
Union County,19119,Tennessee
Van Buren County,5677,Tennessee
Warren County,40435,Tennessee
Washington County,126302,Tennessee
Wayne County,16748,Tennessee
Weakley County,33960,Tennessee
White County,26521,Tennessee
Williamson County,211672,Tennessee
Wilson County,128911,Tennessee
Anderson County,57580,Texas
Andrews County,18105,Texas
Angelina County,88255,Texas
Aransas County,25350,Texas
Archer County,8715,Texas
Armstrong County,1947,Texas
Atascosa County,48435,Texas
Austin County,29563,Texas
Bailey County,7210,Texas
Bandera County,21269,Texas
Bastrop County,80527,Texas
Baylor County,3618,Texas
Bee County,32874,Texas
Bell County,334941,Texas
Bexar County,1897753,Texas
Blanco County,11004,Texas
Borden County,648,Texas
Bosque County,17891,Texas
Bowie County,93389,Texas
Brazoria County,346312,Texas
Brazos County,215037,Texas
Brewster County,9145,Texas
Briscoe County,1505,Texas
Brooks County,7230,Texas
Brown County,37896,Texas
Burleson County,17460,Texas
Burnet County,45463,Texas
Caldwell County,40522,Texas
Calhoun County,21895,Texas
Callahan County,13557,Texas
Cameron County,422156,Texas
Camp County,12682,Texas
Carson County,5969,Texas
Cass County,30313,Texas
Castro County,7656,Texas
Chambers County,38863,Texas
Cherokee County,51542,Texas
Childress County,7088,Texas
Clay County,10360,Texas
Cochran County,2953,Texas
Coke County,3238,Texas
Coleman County,8338,Texas
Collin County,914127,Texas
Collingsworth County,3044,Texas
Colorado County,20870,Texas
Comal County,129048,Texas
Comanche County,13430,Texas
Concho County,4081,Texas
Cooke County,39229,Texas
Coryell County,75503,Texas
Cottle County,1426,Texas
Crane County,5048,Texas
Crockett County,3710,Texas
Crosby County,5977,Texas
Culberson County,2236,Texas
Dallam County,7121,Texas
Dallas County,2553385,Texas
Dawson County,13520,Texas
Deaf Smith County,18952,Texas
Delta County,5217,Texas
Denton County,780612,Texas
DeWitt County,20797,Texas
Dickens County,2206,Texas
Dimmit County,10980,Texas
Donley County,3499,Texas
Duval County,11388,Texas
Eastland County,18171,Texas
Ector County,159436,Texas
Edwards County,1894,Texas
Ellis County,163632,Texas
El Paso County,835593,Texas
Erath County,41122,Texas
Falls County,17142,Texas
Fannin County,33693,Texas
Fayette County,25110,Texas
Fisher County,3827,Texas
Floyd County,5901,Texas
Foard County,1220,Texas
Fort Bend County,716087,Texas
Franklin County,10651,Texas
Freestone County,19691,Texas
Frio County,18793,Texas
Gaines County,20051,Texas
Galveston County,322225,Texas
Garza County,6415,Texas
Gillespie County,25963,Texas
Glasscock County,1315,Texas
Goliad County,7531,Texas
Gonzales County,20573,Texas
Gray County,23210,Texas
Grayson County,125467,Texas
Gregg County,124108,Texas
Grimes County,27512,Texas
Guadalupe County,151249,Texas
Hale County,34360,Texas
Hall County,3138,Texas
Hamilton County,8159,Texas
Hansford County,5610,Texas
Hardeman County,3840,Texas
Hardin County,55865,Texas
Harris County,4538028,Texas
Harrison County,66746,Texas
Hartley County,6193,Texas
Haskell County,5737,Texas
Hays County,194739,Texas
Hemphill County,4264,Texas
Henderson County,79545,Texas
Hidalgo County,842304,Texas
Hill County,34855,Texas
Hockley County,23433,Texas
Hood County,55423,Texas
Hopkins County,36223,Texas
Houston County,22785,Texas
Howard County,37206,Texas
Hudspeth County,3379,Texas
Hunt County,89844,Texas
Hutchinson County,21734,Texas
Irion County,1554,Texas
Jack County,8878,Texas
Jackson County,14816,Texas
Jasper County,35506,Texas
Jeff Davis County,2156,Texas
Jefferson County,254308,Texas
Jim Hogg County,5200,Texas
Jim Wells County,41382,Texas
Johnson County,159990,Texas
Jones County,19970,Texas
Karnes County,14975,Texas
Kaufman County,114690,Texas
Kendall County,40384,Texas
Kenedy County,407,Texas
Kent County,764,Texas
Kerr County,50955,Texas
Kimble County,4388,Texas
King County,282,Texas
Kinney County,3549,Texas
Kleberg County,31857,Texas
Knox County,3860,Texas
Lamar County,49440,Texas
Lamb County,13385,Texas
Lampasas County,20588,Texas
La Salle County,7631,Texas
Lavaca County,19836,Texas
Lee County,16898,Texas
Leon County,17086,Texas
Liberty County,79654,Texas
Limestone County,23320,Texas
Lipscomb County,3569,Texas
Live Oak County,12229,Texas
Llano County,19796,Texas
Loving County,112,Texas
Lubbock County,299453,Texas
Lynn County,5724,Texas
McCulloch County,8341,Texas
McLennan County,245671,Texas
McMullen County,820,Texas
Madison County,14065,Texas
Marion County,10160,Texas
Martin County,5641,Texas
Mason County,4032,Texas
Matagorda County,36770,Texas
Maverick County,57706,Texas
Medina County,48417,Texas
Menard County,2164,Texas
Midland County,161077,Texas
Milam County,24513,Texas
Mills County,4900,Texas
Mitchell County,9067,Texas
Montague County,19262,Texas
Montgomery County,537559,Texas
Moore County,22255,Texas
Morris County,12516,Texas
Motley County,1148,Texas
Nacogdoches County,65664,Texas
Navarro County,48323,Texas
Newton County,13986,Texas
Nolan County,15107,Texas
Nueces County,359715,Texas
Ochiltree County,10747,Texas
Oldham County,2069,Texas
Orange County,84260,Texas
Palo Pinto County,27895,Texas
Panola County,23766,Texas
Parker County,126042,Texas
Parmer County,9749,Texas
Pecos County,16203,Texas
Polk County,46972,Texas
Potter County,121802,Texas
Presidio County,6876,Texas
Rains County,11161,Texas
Randall County,130269,Texas
Reagan County,3792,Texas
Real County,3307,Texas
Red River County,12455,Texas
Reeves County,14732,Texas
Refugio County,7289,Texas
Roberts County,916,Texas
Robertson County,16659,Texas
Rockwall County,90861,Texas
Runnels County,10551,Texas
Rusk County,53070,Texas
Sabine County,10368,Texas
San Augustine County,8473,Texas
San Jacinto County,27413,Texas
San Patricio County,67357,Texas
San Saba County,5901,Texas
Schleicher County,3211,Texas
Scurry County,17615,Texas
Shackelford County,3350,Texas
Shelby County,25402,Texas
Sherman County,3072,Texas
Smith County,222936,Texas
Somervell County,8739,Texas
Starr County,63795,Texas
Stephens County,9440,Texas
Sterling County,1352,Texas
Stonewall County,1410,Texas
Sutton County,3913,Texas
Swisher County,7533,Texas
Tarrant County,1982498,Texas
Taylor County,136051,Texas
Terrell County,837,Texas
Terry County,12739,Texas
Throckmorton County,1579,Texas
Titus County,32623,Texas
Tom Green County,118105,Texas
Travis County,1176558,Texas
Trinity County,14402,Texas
Tyler County,21347,Texas
Upshur County,40603,Texas
Upton County,3651,Texas
Uvalde County,27245,Texas
Val Verde County,48988,Texas
Van Zandt County,53547,Texas
Victoria County,92382,Texas
Walker County,70699,Texas
Waller County,48656,Texas
Ward County,11721,Texas
Washington County,34765,Texas
Webb County,269721,Texas
Wharton County,41486,Texas
Wheeler County,5657,Texas
Wichita County,131705,Texas
Wilbarger County,13027,Texas
Willacy County,21903,Texas
Williamson County,508514,Texas
Wilson County,47520,Texas
Winkler County,8005,Texas
Wise County,62953,Texas
Wood County,43356,Texas
Yoakum County,8546,Texas
Young County,18270,Texas
Zapata County,14374,Texas
Zavala County,12235,Texas
Beaver County,6354,Utah
Box Elder County,52097,Utah
Cache County,120783,Utah
Carbon County,20479,Utah
Daggett County,1109,Utah
Davis County,336043,Utah
Duchesne County,20862,Utah
Emery County,10370,Utah
Garfield County,5009,Utah
Grand County,9516,Utah
Iron County,48368,Utah
Juab County,10594,Utah
Kane County,7131,Utah
Millard County,12645,Utah
Morgan County,11065,Utah
Piute County,1517,Utah
Rich County,2311,Utah
Salt Lake County,1107314,Utah
San Juan County,15772,Utah
Sanpete County,28778,Utah
Sevier County,20984,Utah
Summit County,39633,Utah
Tooele County,62952,Utah
Uintah County,37928,Utah
Utah County,575205,Utah
Wasatch County,29161,Utah
Washington County,155602,Utah
Wayne County,2692,Utah
Weber County,243645,Utah
Addison County,37035,Vermont
Bennington County,36317,Vermont
Caledonia County,30780,Vermont
Chittenden County,161382,Vermont
Essex County,6163,Vermont
Franklin County,48799,Vermont
Grand Isle County,6861,Vermont
Lamoille County,25235,Vermont
Orange County,28899,Vermont
Orleans County,27100,Vermont
Rutland County,59736,Vermont
Washington County,58612,Vermont
Windham County,43386,Vermont
Windsor County,55737,Vermont
Accomack County,32973,Virginia
Albemarle County,105703,Virginia
Alleghany County,15677,Virginia
Amelia County,12903,Virginia
Amherst County,31914,Virginia
Appomattox County,15414,Virginia
Arlington County,229164,Virginia
Augusta County,74314,Virginia
Bath County,4470,Virginia
Bedford County,77724,Virginia
Bland County,6561,Virginia
Botetourt County,33347,Virginia
Brunswick County,16698,Virginia
Buchanan County,22776,Virginia
Buckingham County,17032,Virginia
Campbell County,55086,Virginia
Caroline County,29984,Virginia
Carroll County,29724,Virginia
Charles City County,7040,Virginia
Charlotte County,12201,Virginia
Chesterfield County,335687,Virginia
Clarke County,14363,Virginia
Craig County,5211,Virginia
Culpeper County,49432,Virginia
Cumberland County,9719,Virginia
Dickenson County,15115,Virginia
Dinwiddie County,27852,Virginia
Essex County,11130,Virginia
Fairfax County,1142234,Virginia
Fauquier County,68782,Virginia
Floyd County,15651,Virginia
Fluvanna County,26235,Virginia
Franklin County,56264,Virginia
Frederick County,83199,Virginia
Giles County,16708,Virginia
Gloucester County,37143,Virginia
Goochland County,22253,Virginia
Grayson County,16012,Virginia
Greene County,19162,Virginia
Greensville County,11885,Virginia
Halifax County,35125,Virginia
Hanover County,103227,Virginia
Henrico County,325155,Virginia
Henry County,51881,Virginia
Highland County,2214,Virginia
Isle of Wight County,36314,Virginia
James City County,73147,Virginia
King and Queen County,7158,Virginia
King George County,25515,Virginia
King William County,16269,Virginia
Lancaster County,10965,Virginia
Lee County,24742,Virginia
Loudoun County,375629,Virginia
Louisa County,34602,Virginia
Lunenburg County,12299,Virginia
Madison County,13134,Virginia
Mathews County,8862,Virginia
Mecklenburg County,31081,Virginia
Middlesex County,10606,Virginia
Montgomery County,97653,Virginia
Nelson County,14785,Virginia
New Kent County,20392,Virginia
Northampton County,12155,Virginia
Northumberland County,12232,Virginia
Nottoway County,15673,Virginia
Orange County,35385,Virginia
Page County,23726,Virginia
Patrick County,18045,Virginia
Pittsylvania County,62194,Virginia
Powhatan County,28031,Virginia
Prince Edward County,22952,Virginia
Prince George County,37862,Virginia
Prince William County,451721,Virginia
Pulaski County,34332,Virginia
Rappahannock County,7378,Virginia
Richmond County,8908,Virginia
Roanoke County,94409,Virginia
Rockbridge County,22354,Virginia
Rockingham County,78593,Virginia
Russell County,27891,Virginia
Scott County,22126,Virginia
Shenandoah County,43190,Virginia
Smyth County,31470,Virginia
Southampton County,18109,Virginia
Spotsylvania County,130475,Virginia
Stafford County,142003,Virginia
Surry County,6709,Virginia
Sussex County,11715,Virginia
Tazewell County,42899,Virginia
Warren County,39083,Virginia
Washington County,54591,Virginia
Westmoreland County,17629,Virginia
Wise County,39718,Virginia
