County,Population 2015,State
Vigo County,107896,Indiana
Wabash County,32138,Indiana
Warren County,8269,Indiana
Warrick County,61897,Indiana
Washington County,27827,Indiana
Wayne County,67001,Indiana
Wells County,27964,Indiana
White County,24293,Indiana
Whitley County,33406,Indiana
Adair County,7228,Iowa
Adams County,3796,Iowa
Allamakee County,13886,Iowa
Appanoose County,12529,Iowa
Audubon County,5773,Iowa
Benton County,25658,Iowa
Black Hawk County,133455,Iowa
Boone County,26643,Iowa
Bremer County,24722,Iowa
Buchanan County,21062,Iowa
Buena Vista County,20493,Iowa
Butler County,14915,Iowa
Calhoun County,9818,Iowa
Carroll County,20498,Iowa
Cass County,13427,Iowa
Cedar County,18340,Iowa
Cerro Gordo County,43017,Iowa
Cherokee County,11574,Iowa
Chickasaw County,12097,Iowa
Clarke County,9259,Iowa
Clay County,16507,Iowa
Clayton County,17644,Iowa
Clinton County,47768,Iowa
Crawford County,17094,Iowa
Dallas County,80133,Iowa
Davis County,8769,Iowa
Decatur County,8220,Iowa
Delaware County,17403,Iowa
Des Moines County,40055,Iowa
Dickinson County,17111,Iowa
Dubuque County,97125,Iowa
Emmet County,9769,Iowa
Fayette County,20257,Iowa
Floyd County,15960,Iowa
Franklin County,10295,Iowa
Fremont County,6906,Iowa
Greene County,9027,Iowa
Grundy County,12435,Iowa
Guthrie County,10676,Iowa
Hamilton County,15190,Iowa
Hancock County,10974,Iowa
Hardin County,17367,Iowa
Harrison County,14265,Iowa
Henry County,19950,Iowa
Howard County,9410,Iowa
Humboldt County,9555,Iowa
Ida County,7028,Iowa
Iowa County,16401,Iowa
Jackson County,19444,Iowa
Jasper County,36827,Iowa
Jefferson County,17555,Iowa
Johnson County,144251,Iowa
Jones County,20466,Iowa
Keokuk County,10163,Iowa
Kossuth County,15165,Iowa
Lee County,35089,Iowa
Linn County,219916,Iowa
Louisa County,11185,Iowa
Lucas County,8682,Iowa
Lyon County,11745,Iowa
Madison County,15753,Iowa
Mahaska County,22324,Iowa
Marion County,33294,Iowa
Marshall County,40746,Iowa
Mills County,14844,Iowa
